osm_id,code,fclass,name,layer,bridge,tunnel,geometry
26765310,6104,tram,,0,F,F,"LINESTRING (114.186957 22.2794284, 114.1870047 22.2794171, 114.1870341 22.2794113, 114.1870891 22.2794019, 114.1871116 22.2793985, 114.187188 22.2793889, 114.1872035 22.2793862, 114.1872176 22.2793819, 114.1872312 22.2793763, 114.1872437 22.2793689, 114.1872557 22.2793594, 114.1872672 22.2793481, 114.1872759 22.2793354, 114.1872817 22.2793214, 114.187285 22.2793073, 114.1872868 22.2792955, 114.1872871 22.2792841, 114.1872862 22.2792709, 114.1872838 22.2792588, 114.1872789 22.279248, 114.1872724 22.2792367, 114.1872612 22.2792224, 114.1872495 22.2792115, 114.187229 22.279199, 114.1872141 22.2791926, 114.1871954 22.2791883, 114.1871775 22.2791866, 114.1871585 22.2791876, 114.1871429 22.2791907, 114.1871291 22.2791959, 114.187111 22.2792056, 114.1870965 22.2792185, 114.1870821 22.2792355, 114.1870621 22.2792655)"
26772671,6104,tram,,0,F,F,"LINESTRING (114.1348491 22.2869451, 114.1348333 22.286951, 114.1348216 22.2869564, 114.134806 22.2869657, 114.1347901 22.2869781, 114.1347768 22.2869911, 114.1347662 22.2870045, 114.1347581 22.2870173, 114.1347514 22.2870303, 114.1347458 22.2870474, 114.1347419 22.2870666, 114.1347409 22.2870818, 114.1347409 22.2870947, 114.1347433 22.2871101, 114.134747 22.2871244, 114.1347545 22.2871424, 114.134763 22.2871574, 114.1347733 22.2871715, 114.1347849 22.2871846, 114.1347969 22.2871958, 114.1348119 22.2872056, 114.1348326 22.2872155, 114.1348547 22.287223, 114.1348772 22.2872279, 114.1348962 22.2872294, 114.1349164 22.287228, 114.1349374 22.2872233, 114.1349536 22.2872179, 114.1349715 22.2872103, 114.1349847 22.2872033, 114.1349996 22.2871926, 114.1350166 22.2871757, 114.1350299 22.2871584, 114.1350409 22.287138, 114.1350468 22.2871203)"
27275780,6102,light_rail,輕鐵 Light Rail,0,F,F,"LINESTRING (113.9779752 22.4106343, 113.9781761 22.4113211)"
28380070,6103,subway,港鐵將軍澳綫 MTR Tseung Kwan O Line,-1,F,T,"LINESTRING (114.271362 22.2973742, 114.2716768 22.2975829, 114.2719192 22.2977972, 114.2720615 22.2979335, 114.2721711 22.2980838)"
28807827,6101,rail,港鐵東鐵綫 MTR East Rail Line,1,T,F,"LINESTRING (114.0634169 22.5142172, 114.064181 22.5142703, 114.065685 22.5143748, 114.0672286 22.5144821, 114.0687625 22.5145889, 114.069016 22.5146061)"
28807828,6101,rail,港鐵東鐵綫 MTR East Rail Line,-2,F,T,"LINESTRING (114.1210654 22.5070364, 114.1208787 22.5071497, 114.1206934 22.5072576, 114.1205415 22.5073314, 114.1203781 22.5074069, 114.1202176 22.5074606, 114.120041 22.5075118, 114.1198401 22.5075616, 114.1196356 22.5075963, 114.1194111 22.5076284, 114.119176 22.5076548, 114.1189193 22.5076708, 114.1024877 22.5076184, 114.1020007 22.5076168, 114.098232 22.507543, 114.0979235 22.5075376, 114.0976635 22.507523, 114.0973718 22.50749, 114.0970373 22.5074305, 114.0967078 22.5073588, 114.0855436 22.5045625, 114.0847769 22.5044243, 114.0841971 22.5043759, 114.0840343 22.5043614, 114.0823913 22.5042397, 114.0821448 22.5042448, 114.0818415 22.5042634, 114.0814315 22.5042876, 114.0809324 22.5043389)"
28808000,6101,rail,港鐵東鐵綫馬場支綫 MTR East Rail Line (Racecourse Spur),-1,F,F,"LINESTRING (114.1978148 22.3943, 114.1977077 22.3941916)"
31889960,6103,subway,港鐵迪士尼綫 MTR Disneyland Resort Line,0,F,F,"LINESTRING (114.0272906 22.330111, 114.0274516 22.3302507, 114.0276353 22.3303902, 114.0277456 22.3304763, 114.0278546 22.330574, 114.0283367 22.3310291, 114.0285222 22.3312063, 114.0287168 22.3313957, 114.0290377 22.3317036, 114.0293285 22.3319829, 114.029519 22.3321585, 114.0296367 22.3322575, 114.029755 22.33234, 114.0298883 22.3324288, 114.0300441 22.3325117, 114.0301854 22.3325847, 114.0303457 22.3326529, 114.030509 22.3327083, 114.0306881 22.3327543, 114.030872 22.3327928, 114.0310904 22.3328234, 114.0313359 22.3328483)"
31975831,6103,subway,港鐵迪士尼綫 MTR Disneyland Resort Line,0,F,T,"LINESTRING (114.0313359 22.3328483, 114.0316676 22.3328358, 114.031975 22.3327952, 114.0322094 22.3327452, 114.0325119 22.3326504, 114.0327488 22.3325482, 114.0329806 22.3324286, 114.0332563 22.3322648, 114.0334751 22.3321194, 114.0337267 22.3319329, 114.0339475 22.331748, 114.0342101 22.3315271, 114.0344229 22.3313144, 114.0346275 22.3310953, 114.0347899 22.3308972, 114.0349294 22.3307111, 114.0350551 22.3304961, 114.0351507 22.3302974, 114.0352261 22.3301033, 114.0352783 22.3299079, 114.0353214 22.329728, 114.0353446 22.3295035, 114.0353535 22.329313, 114.0353465 22.3291186, 114.0353233 22.3288928, 114.0352867 22.3286268, 114.0352182 22.3281191, 114.0351182 22.3273524)"
31975849,6103,subway,港鐵迪士尼綫 MTR Disneyland Resort Line,0,F,F,"LINESTRING (114.0351182 22.3273524, 114.0350229 22.3267005)"
31976026,6101,rail,港鐵屯馬綫 MTR Tuen Ma Line,0,F,T,"LINESTRING (114.177291 22.3719378, 114.1767085 22.3715989, 114.1763835 22.3714126, 114.1755734 22.3708545, 114.1751709 22.3705683)"
32226078,6103,subway,港鐵將軍澳綫 MTR Tseung Kwan O Line,-1,F,F,"LINESTRING (114.2699594 22.2965858, 114.2699905 22.2966089, 114.2702379 22.2967769, 114.270342 22.2968426, 114.2705714 22.2969874, 114.270948 22.2971846, 114.271362 22.2973742)"
33613634,6101,rail,港鐵屯馬綫 MTR Tuen Ma Line,-2,F,T,"LINESTRING (114.1364961 22.3402663, 114.1365294 22.3399901, 114.1365498 22.339689, 114.1365875 22.3388903, 114.1366277 22.3380978, 114.1366825 22.3370664, 114.1367011 22.3368044, 114.1367228 22.3366001, 114.136755 22.3363653, 114.1367873 22.3361727, 114.1368395 22.3359511, 114.1369171 22.3357126, 114.136989 22.3355488, 114.1370788 22.3353789, 114.1371678 22.3352264, 114.1372923 22.3350439, 114.1374336 22.3348698, 114.1376094 22.334675, 114.1378015 22.3345018, 114.13795 22.3343822, 114.1381236 22.3342628, 114.1383362 22.3341346, 114.1385401 22.3340302, 114.1387734 22.3339289, 114.1422157 22.3325529, 114.1439558 22.3318133, 114.1497429 22.3292815, 114.150872 22.3287405)"
33872172,6103,subway,港鐵港島綫 MTR Island Line,-2,F,T,"LINESTRING (114.1459345 22.28772, 114.1475793 22.2877225, 114.1478976 22.287714, 114.1481316 22.2876974, 114.1483493 22.2876715, 114.1486579 22.2876068, 114.1489328 22.2875263, 114.1492201 22.2874206, 114.1495284 22.2872937, 114.1501054 22.2870911, 114.1506074 22.2869413)"
35927225,6103,subway,港鐵機場快綫 MTR Airport Express,0,F,F,"LINESTRING (113.9377439 22.2946172, 113.9376531 22.2947685, 113.9375334 22.2949779, 113.9374532 22.295125, 113.9373221 22.295377, 113.9371733 22.2956859, 113.9370158 22.2960459, 113.9368825 22.2963831, 113.9367344 22.2968031, 113.9366133 22.2971957, 113.9365218 22.2975246, 113.9364338 22.2978792, 113.9363636 22.2981913, 113.9363037 22.298506, 113.9362358 22.2989167, 113.9361774 22.2993536, 113.9361385 22.2997617, 113.9361164 22.300088, 113.936108 22.3002922, 113.9361049 22.3005197, 113.9361073 22.3007441, 113.9361179 22.300973, 113.9361328 22.3011967, 113.9361534 22.3014091, 113.9361973 22.3017374, 113.9362364 22.301959, 113.9362576 22.3020671, 113.9363037 22.3022738, 113.9363381 22.3024087, 113.9363878 22.3025959, 113.9364441 22.3027855, 113.9364896 22.302932, 113.9365322 22.3030624, 113.9365866 22.303221, 113.9366496 22.3033959, 113.9367045 22.3035431, 113.93777 22.3063472, 113.9378366 22.3065338, 113.9378939 22.3066989, 113.9379508 22.3068707, 113.938019 22.3070925, 113.9380829 22.307322, 113.9381381 22.3075446, 113.9381828 22.3077451, 113.9382197 22.3079313, 113.9382565 22.3081391, 113.9382855 22.3083358, 113.9383127 22.3085598, 113.9383314 22.3087858, 113.9383455 22.309015, 113.9383546 22.309231, 113.9383586 22.3094483, 113.9383565 22.3096472, 113.9383517 22.3098185, 113.9383452 22.3099657, 113.9383355 22.3101216)"
37517591,6101,rail,港鐵東鐵綫 MTR East Rail Line,1,T,F,"LINESTRING (114.1728804 22.3201791, 114.1729192 22.3200733, 114.1730242 22.3198217)"
37517592,6101,rail,港鐵東鐵綫 MTR East Rail Line,-1,F,T,"LINESTRING (114.1734834 22.324735, 114.1730998 22.3239226)"
37517647,6101,rail,港鐵東鐵綫 MTR East Rail Line,-1,F,T,"LINESTRING (114.1764621 22.3123722, 114.1765146 22.3123157, 114.176627 22.3122037, 114.1768504 22.311984, 114.1771745 22.3116544, 114.1784318 22.3104061)"
37517650,6101,rail,港鐵東鐵綫 MTR East Rail Line,0,F,F,"LINESTRING (114.1808216 22.3079958, 114.1809129 22.307906, 114.1810126 22.3078061, 114.1810833 22.3077367, 114.1811538 22.3076608, 114.1812325 22.3075589, 114.1814179 22.3073139, 114.1814643 22.3072414, 114.1815321 22.3071329, 114.1816008 22.306998, 114.1816513 22.3068792, 114.1816964 22.3067419, 114.1817393 22.3065573, 114.1817625 22.3063936, 114.1817713 22.3063007, 114.181777 22.3061874)"
37517679,6101,rail,港鐵東鐵綫 MTR East Rail Line,1,F,F,"LINESTRING (114.1750167 22.3276413, 114.1745285 22.3267139)"
37554415,6101,rail,港鐵東鐵綫 MTR East Rail Line,0,F,F,"LINESTRING (114.196157 22.3921519, 114.1958598 22.391732, 114.1957264 22.3915512, 114.1955689 22.3913494, 114.1954335 22.3911849, 114.1952998 22.3910295, 114.1950991 22.3908114, 114.1948953 22.3906052, 114.1946976 22.3904174, 114.1946238 22.3903495, 114.1945306 22.3902689, 114.1936717 22.3895604, 114.1936199 22.3895152, 114.1934463 22.3893628, 114.1932669 22.3892007, 114.1930976 22.3890408, 114.19293 22.3888799, 114.1909366 22.3869101, 114.1904178 22.3863969, 114.1901851 22.3861607, 114.1899592 22.3859133, 114.1897354 22.3856473, 114.1895545 22.3854121, 114.18938 22.3851817, 114.189276 22.3850346, 114.188986 22.384614, 114.1887634 22.384287)"
37554439,6101,rail,港鐵東鐵綫 MTR East Rail Line,0,F,F,"LINESTRING (114.1887634 22.384287, 114.1883374 22.3836733, 114.1876501 22.3827273, 114.186691 22.3814818, 114.1865229 22.3812463, 114.1860412 22.3805327, 114.1858638 22.3802722, 114.1855599 22.3798027, 114.1854425 22.3796389, 114.1853265 22.3794885, 114.1851981 22.379345, 114.1848965 22.3790254)"
37554483,6101,rail,港鐵東鐵綫馬場支綫 MTR East Rail Line (Racecourse Spur),0,F,F,"LINESTRING (114.2012003 22.3978782, 114.2010346 22.3976078, 114.2007341 22.3971456, 114.2004041 22.3966403, 114.2001711 22.3962919, 114.2000549 22.396139, 114.1999043 22.395958, 114.199714 22.3957574, 114.1995377 22.3955922, 114.1992963 22.3953964, 114.1991782 22.3953113, 114.1990577 22.3952302)"
37554485,6101,rail,港鐵東鐵綫馬場支綫 MTR East Rail Line (Racecourse Spur),0,F,F,"LINESTRING (114.1982259 22.39467, 114.1978148 22.3943)"
37588961,6101,rail,港鐵東鐵綫 MTR East Rail Line,-1,F,F,"LINESTRING (114.2035768 22.4028233, 114.2033663 22.4026752, 114.203143 22.4025053, 114.2030261 22.4024069, 114.2028211 22.4022225, 114.2026065 22.4020187, 114.2025067 22.4019174, 114.2023342 22.4017225, 114.202157 22.4015059, 114.2019854 22.4012831, 114.2018175 22.4010382, 114.2003899 22.3988209, 114.2000933 22.3981299, 114.1998781 22.3977036)"
40430290,6102,light_rail,輕鐵 Light Rail,2,T,F,"LINESTRING (113.9747669 22.3939748, 113.9747072 22.3939339, 113.9746712 22.3938881, 113.9746444 22.3938336, 113.9746323 22.3937757, 113.9746344 22.393731, 113.9746462 22.3936682)"
